Student,LPIPS,SSIM
112598040.png,0.0,1.0
108590062.png,0.2184692919254303,0.9141646194414932
109590022.png,0.24438180029392242,0.9043796293191311
109590002.png,0.364033579826355,0.8753652222010831
107590028.png,0.3736536204814911,0.8804047410336309
109590003.png,0.48792099952697754,0.821531222449489
